sentence1	sentence2	label	semantic_similarity	quality_flag
nool veli fence of yarn is a 1979 tamil film starring sarath babu sujatha and saritha	nool veli fence of yarn is a 1979 tamil film playing with saritha sujatha and sarath babu	1	0.9876	strong
it debuted in australia in august 2006 and arrived in new zealand in early 2007	it arrived in august 2006 in australia and debuted in new zealand in early 2007	0	0.9904	strong
hartford high school was founded in 1857 shortly after the city of hartford was established	hartford high school was founded in 1857 shortly after the city of hartford was created	1	0.9959	strong
the season 2015 16 rain or gloss elasto painter is the tenth season of the franchise in the pba philippine basketball association	the season 2015 16 rain or gloss elasto painter is the tenth season of the franchise in the philippine basketball association pba	1	0.9988	strong
volkswagen ag is an automobile manufacturer and a subsidiary of porsche ag	porsche is an automobile manufacturer and a subsidiary of volkswagen ag	0	0.9501	strong
in 1828 layitia snyder married yeomans of albany with whom he had two daughters and three sons	in 1828 yeoman married laetitia snyder of albany with whom he had two daughters and three sons	0	0.8743	strong
on 13 october 2010 the atlanta braves announced that bobby cox would replace the longtime braves manager fredi gonzález as team manager in 2011	on october 13 2010 the atlanta braves announced that fredi gonzález would replace braves manager bobby cox as team manager in 2011	0	0.9871	strong
frugalware has a twig codice 2 and a branch codice 3 the branch codice 2 is updated daily and the branch codice 3 is updated every six months	frugalware has a codice 2 and a codice 3 branch the codice 2 branch gets updated daily and the codice 3 branch is updated every 6 months	1	0.911	strong
frugalware has a twig codice 2 and a branch codice 3 the branch codice 2 is updated daily and the branch codice 3 is updated every six months	frugalware has a codice _ 2 and a codice _ 3 branch the codice _ 2 branch is updated daily and the codice _ 3 branch gets updated every 6 months	1	0.8819	strong
the la république en marche group is a parliamentary group in the national assembly including representatives of la république en marche after the 2017 legislative elections	la république en marche is a political group in the national assembly including representatives of la république en marche after the 2017 parliamentary elections	1	0.9824	strong
a month later the spanish fleet was destroyed at the battle of santiago de cuba and the crewmen were released	a month later the spanish fleet was destroyed at the battle of santiago de cuba and the crewman was released	1	0.9805	strong
isaac john calvin mccoy s son isaac is generally considered the father of kansas city after he formally founded the city	isaac s son john calvin mccoy is generally considered the father of kansas city after he formally founded the town	0	0.9816	strong
in the 16th round 476th total of the major league baseball draft in 2004 arizona reynolds was selected by the arizona diamondbacks	in the 476th round 16th overall rank of the major league baseball draft 2004 arizona reynolds was selected by the arizona diamondback	0	0.9656	strong
in february 2016 it was announced that john kasich governor kasich of ohio joined national co chairman and california state chairman for steve poizner as president	in february 2016 it was announced that steve poizner has joined governor john kasich of ohio as national co chairman and california state chairman for kasich for president	0	0.9808	strong
politically sensitive economically appropriate ecologically sustainable and ultimately socially just however no references or sources for the data used are specified	ecologically appropriate economically sustainable politically sensitive and ultimately socially just however no references or sources of the data used are provided	0	0.9788	strong
the biggest loser title was won by sven from hamburg who shared the prize with his teammate heino who became the third	the biggest loser title was won by heino from hamburg who shared the prize with his teammate sven who finished third	0	0.9938	strong
he inherited the gwalior gharana and the gandharva mahavidyalaya but he was always open to adopting other features of aesthetic gharanas and styles	he inherited the gwalior gharana and the gandharva mahavidyalaya but he was always open to taking aesthetic features of other gharanas and styles	0	0.9951	strong
after the season he rick anderson juan beníquez and jerry narron were traded for ruppert jones and jim lewis in the seattle mariners	after the season he rick anderson juan beníquez and jerry narron were traded to the seattle mariners for ruppert jones and jim lewis	1	0.9956	strong
conneaut creek is situated along conneaut at the mouth of lake erie	conneaut creek is situated at the mouth of the erie lake along conneaut	1	0.9946	strong
african stone tool technologies are divided into the modes outlined by lawrence barham and peter mitchell in 1969 and proposed by grahame clark as follows	african stone tool technologies are divided into modes as outlined by lawrence barham and peter mitchell in 1969 and proposed by grahame clark as follows	1	0.9966	strong
in december 2002 facundo and tamara vargas with omar joined the team of the morning radio program ya párate	in december 2002 facundo and tamara vargas joined the team of the morning radio show ya párate with omar	1	0.9835	strong
in the smythe division the calgary flames and edmonton oilers made the playoffs every year while the original winnipeg jets missed only twice	in the smythe division the calgary flames and the edmonton oilers made the playoffs every year while the original winnipeg jets only missed twice	1	0.9974	strong
kiernan was an english footballer may 22 1925 in croydon april 3 2006 in pembury	william e kiernan 22 may 1925 in pembury 3 april 2006 in croydon was an english footballer	0	0.9398	strong
karen and kristoffer together have eight children	karen and kristoffer have eight children together	1	0.9981	strong
the hamlet now called jamesport was first settled in the 1690s and originally was called aquebogue	the hamlet now called jamesport was first inhabited in the 1690s and was originally called aquebogue	1	0.9878	strong
tracks 717 from the album let s s be up and make friendly	tracks 717 from the album let s make up and be friendly	0	0.9329	strong
colus terraenovae is a species of sea snail a marine gastropod mollusk in the family buccinidae the true whelks	colus terraenovae is a species of sea snail a true gastropod mollusk in the buccinidae family the whelks marine	0	0.995	strong
his son henry ii died before 1178 twice sheriff of shropshire held the castles of shrewsbury and bridgnorth for king john i lestrange in 1174	his son heinrich ii died before 1178 twice sheriff of shropshire held the castles of shrewsbury and bridgnorth in 1174 for king john i lestrange	1	0.9403	strong
son of robert gueudet and arlette nee vigot married to monique trogneux whose sister brigitte trogneux is married to emmanuel macron the president of france	son of robert gueudet and arlette née vigot married to monique trogneux whose sister brigitte trogneux is married to president of france emmanuel macron	1	0.9981	strong
her release was recognized by the suffragettes and her achievement with flowers was celebrated	her release was recognised by the suffragettes and her achievement was celebrated with flowers	1	0.9933	strong
the role of the corpus callosum in epilepsy is the epileptiform transmission of interhemispheric discharges	the role of the corpus callosum in epilepsy is the epileptiform transmission of interhemispheric discharge	1	0.9991	strong
conversely there were at least four members of the opposition who crossvoted in favour of the government proposal these 4 were	conversely there were at least four members of the opposition who were crossing in favour of the government proposal	1	0.8557	strong
sporting club suceava was a professional football club from suceava founded in romania and established in 2008	sporting club suceava was a professional football club from suceava based in romania and founded in 2008	1	0.9951	strong
iti usually refers to something abstract but may also refer to concrete nouns	iti usually refers to something abstract but can also refer to concrete nouns	1	0.9978	strong
opson is therefore equivalent to banchan in korean cuisine and okazu in japanese cuisine	opson is therefore banchan in korean cuisine and okazu equivalent in japanese cuisine	1	0.9912	strong
the river is crossed by the princes highway east of cann river	the river is traversed by the princes highway east of cann river	1	0.9775	strong
for centuries sri lanka originally known as senkadagala has been the bastion of kandy s culture and its spiritual centre	kandy originally known as senkadagala has been the bastion of sri lankan culture and its spiritual centre for centuries	0	0.9719	strong
stävlö or stäflö is a castle in sweden in the municipality of kalmar	stävlö or stäflö is a castle in sweden of kalmar municipality	1	0.9941	strong
the average gross salary of a croatian worker in january 2017 was 5895 hrk per month and the average net salary was 7911 hrk per month	in january 2017 the average gross content of a croatian worker was 5895 hrk per month and the average net content was 7911 hrk per month	1	0.8841	strong
in 2012 for the italian progressive group karnya francesca naccarelli made some violins arrangements and the singer claudio nigris is in a song to guest	in 2012 for italian progressive group karnya francesca naccarelli made some violins arrangements and the singer claudio nigris is guest in a song	1	0.9976	strong
when portishead railway was built in 1866 the ferry became popular with users of the clifton bridge railway station	when the clifton bridge was built in 1866 the ferry became popular with the users of portishead railway station	0	0.9734	strong
it was elected in 1977 and reelected in april 1978 to the newly created court of appeals district 1	he was elected in 1977 and in april 1978 was reelected to the newly created court of appeals district 1	1	0.9627	strong
itamati has one degree college one junior college three high schools and six upper primary schools	itamati has one degree college a junior college three upper primary schools and six high schools	0	0.9956	strong
however ambassador william sullivan and his successor g mcmurtrie godley continued to oversee air strikes in laos	however ambassador g mcmurtrie godley and his successor william sullivan continued to oversee the air attacks in laos	0	0.9676	strong
catherine lepère is portrayed in a novel by judith merkle riley the oracle glass 1994	in a novel by catherine lepère judith merkle riley is portrayed the oracle glass 1994	0	0.9641	strong
myrtille georges won the title and defeated tara moore in the final 7 6 5 7 6 4	myrtille georges won the title defeating tara moore in the final 7 6 5 7 6 4	1	0.9889	strong
in gjøvik in lillehammer and in the gjøvik olympic cavern hall in håkons hall ice hockey was played in two venues	ice hockey was played at two venues in håkons hall in lillehammer and gjøvik olympic cavern hall in gjøvik	0	0.9657	strong
rakhal chandra ghosh 1863 1922 whose original name was swami brahmananda was son of a zamindar in the basirhat area	rakhal chandra ghosh 1863 1922 whose original name was swami brahmananda was the son of a zamindar in the basirhat	1	0.9888	strong
byron morrow played young in a cameo performance in the episode death valley days an organ for brother brigham 1966	young played byron morrow in a cameo appearance in the death valley days episode an organ for brother brigham 1966	0	0.9807	strong
in 1944 he was born in rome his father was lithuanian jewish his catholic mother was the daughter of a french father and one austrian mother	fuksas was born in rome in 1944 his father was lithuanian jewish while his catholic mother was the daughter of a french father and an austrian mother	1	0.7902	moderate
collins avenue is home to many historic art deco hotels and several nightclubs to the north	collins avenue is home to many historic art deco hotels and several night clubs to the north	1	0.9727	strong
in march 2016 cain s car got stolen cain thought it was charity or ross	in march 2016 cain s car was stolen cain thought it would be charity or ross	1	0.9937	strong
in 1960 glenville directed also robert anderson on broadway in silent night lone night by barbara bel geddes and henry fonda	in 1960 glenville also staged barbara bel geddes and henry fonda in silent night lone night by robert anderson on broadway	0	0.9654	strong
northampton is also home to british military fitness in abington park where members can train up to 7 times a week with serving or exmilitary fitness instructors	northampton is also home to british military fitness in abington park where members can train with service trainers or exmilitary fitness instructors up to 7 times a week	1	0.9893	strong
john mcenroe won in the final 6 0 3 6 6 2 6 2 against miloslav mečíř	miloslav mečíř won against john mcenroe at 6 0 3 6 6 2 6 2 in the final	0	0.9502	strong
pablo neruda was adoum s personal secretary for nearly two years in chile	pablo neruda s personal secretary was in chile for nearly two years	0	0.9571	strong
judah lives in his hometown of memphis with his wife denise and children jeremy horn liam and daisy	jeremy horn lives with his wife denise and the children of judah liam and daisy in his hometown of memphis	0	0.8342	moderate
this association was further enhanced after the female christian missionary nino converted nana his wife mirian and household into christianity in or around 337	this association was further reinforced after the female christian missionary nino nana his wife mirian and household were converted into christianity in or around the year 337	1	0.9792	strong
these include replicas at ramat shlomo in jerusalem and in kfar chabad in israel	these include replicas in ramat shlomo in israel and kfar chabad in jerusalem	0	0.9952	strong
carmen aub romero born october 24 1989 in mexico mexico df is a mexican actress	carmen aub romero born october 24 1989 in mexico city df mexico is a mexican actress	1	0.9961	strong
as an activity techne is dependent variable and contextconcrete	techne is concrete variable and contextdependent as an activity	0	0.8093	moderate
in early 1999 he was instrumental in removing then opposition leader john brumby and electing his successor steve bracks	in early 1999 he was instrumental in removing the then opposition leader steve bracks and electing his successor john brumby	0	0.9976	strong
charles conger sold it to esler in 1889 who sold it to horace nichols in may 1891	in 1889 charles charles conger sold it to esler and in may 1891 it sold to horace nichols	1	0.9847	strong
september 2 cf caleb joseph and cf michael bourn activated c tyler wilson lhp drew stubbs and rhp jayson aquino recalled by aaa norfolk	september 2 cf caleb joseph and cf michael bourn activated c tyler wilson lhp drew stubbs and rhp jayson aquino recalled from aaa norfolk	1	0.9954	strong
armavir province is currently divided into 97 municipal communities hamaynkner of which 3 are urban and 94 are rural	the province of armavir is currently divided into 97 municipal communities hamaynkner of which 3 are urban and 94 are rural	1	0.9933	strong
you were under the mentorship of coach norman black and coach glenn capacio	they were under the auspices of coach glenn capacio and coach norman black	0	0.817	moderate
in 1934 he was cofounder of the badminton world federation now international badminton federation of which he was president from 1934 to 1955	in 1934 he was cofounder of the badminton world federation now international badminton federation whose president he was from 1934 to 1955	1	0.9962	strong
initials when placed can be used either before or after their first name	initials can be used either before or after their first name when they are placed	1	0.9829	strong
thomas johansson won against renzo furlan in the finals with 6 3 6 4	thomas johansson won in the final 6 3 6 4 against renzo furlan	1	0.9698	strong
no 615 county of surrey squadron was a unit of the british auxiliary air force and later the royal auxiliary air force between 1937 and 1957	615 county of surrey squadron was a unit of the british royal auxiliary air force and later the auxiliary air force between 1937 and 1957	0	0.9878	strong
his early attempt to set up a trade business in scotland was a failure and he returned to virginia	his early attempt to set up a merchanting business in scotland was a failure and he returned to virginia	1	0.9457	strong
after lucas gives a statement his application is accepted but denise and jordan plan to use the scheme to help lucas break out of prison	after denise made a statement his application is accepted but lucas and jordan plan to use the scheme to help lucas break out of prison	0	0.992	strong
the kinetic energy of a particle is the sum of potential energy and total energy this sum is also the frequent expression for the hamilton operator in classical mechanics	the kinetic energy of a particle is the sum of potential energy and total energy this sum is also the frequent expression for the hamiltonian in classical mechanics	1	0.975	strong
although developed in singapore it is commercially used mainly in europe	although being developed in singapore it is mainly used commercially in europe	1	0.9943	strong
the cast list indicates a first performance date after taylor entered the company in the spring of 1619 and before the death of tooley in june 1623	the cast list indicates the first performance date after tooley joined the company in the spring of 1619 and before the death of taylor in june 1623	0	0.9818	strong
east nimar was known as khandwa until recently	khandwa was until recently known as the east nimar	0	0.9827	strong
the best girlfriend of alma bautista eula valdez is katrina alegre jean garcia	katrina alegre eula valdez is the best friend of alma bautista jean garcia	0	0.9205	strong
in 1989 he travelled to south africa johannesburg and angola mozambique on a peaceseeking mission	in 1989 he traveled to south africa johannesburg and angola mozambique on a peaceseeking mission	1	0.9978	strong
finally the global stiffness matrix is expanded by adding the individual constructed element matrices together	finally the global stiffness matrix is extended by adding together the individual element matrices constructed	1	0.9743	strong
notre dame received half the 76 million that nbc paid each year for the rights of the deal and his opponent received the other half	notre dame received half of the 76 million dollars that nbc paid each year for the rights of the deal and his opponent received the other half	1	0.9901	strong
he was also suspected of having bludgeoned to death a young dancer anya sosoyeva as well as having assaulted the russian actress delia bogard who survived	he was also suspected of having caught a young dancer anya sosoyeva to death as well as attacking the russian actress delia bogard who survived	1	0.9765	strong
he was drafted by the chicago cardinals and also played for the philadelphia eagles and the washington redskins	he was drafted by the chicago cardinals and played for the philadelphia eagles and washington redskins	1	0.9949	strong
thomas allen 1608 in norwich september 21 1673 was a nonconformist minister and godly	thomas allen 1608 in norwich 21 september 1673 was a nonconformist minister and divine	1	0.9761	strong
although it was never used in the series elements of the gameplay for the powerball whiplash and earthquake events have been played	although it has never been played in the series elements of the gameplay for the powerball whiplash and earthquake events were used	0	0.9724	strong
a road was built by the government from rotorua to ruatahuna in 1901 to end the isolation of tūhoe by opening up the first motor road	a road was built by the government in 1901 from rotorua to ruatahuna to end the isolation of tūhoe by opening the first motorway	1	0.9594	strong
william de roumare s death inherited his son roger count of lincoln the manor	on william de roumare s death his son roger earl of lincoln inherited the manor	1	0.9348	strong
mirzá pír muhammad soon went to delhi which place he took and where he was crowned as king	soon mirzá pír muhammad took to delhi where he went and where he was crowned as king	0	0.9831	strong
his father gerry his uncle tommy and his brother jimmy doyle enjoyed with tipperary also all ireland success	his father gerry his uncle tommy and his brother jimmy doyle also enjoyed allireland success with tipperary	1	0.9557	strong
his son john i lestrange died prior to 1178 twice sheriff of shropshire held the castles of shrewsbury and bridgnorth in 1174 for king henry ii	his son heinrich ii died before 1178 twice sheriff of shropshire held the castles of shrewsbury and bridgnorth in 1174 for king john i lestrange	0	0.9534	strong
as the first year 2011 she appeared in 22 games and started in 23 out of a total of 24 games	as a first year in 2011 she started in 22 games and appeared in 23 of the 24 total matches	0	0.9109	strong
he attacked the goa territories and forced them back to the portuguese coast	he attacked the goan territories and forced them back to the portuguese coast	1	0.9773	strong
his son josh billings 1818 1885 became a wellknown humorist under the pen name henry wheeler shaw	under the pseudonym henry wheeler shaw his son josh billings 1818 1885 became a wellknown humorist	1	0.9681	strong
when the outer compositions are performed first operations are read from right to left	if the outer compositions are performed first operations are read from right to left	1	0.9762	strong
the unibus was developed around 1969 by harold mcfarland and student gordon bell while at carnegie mellon university	the unibus was developed around 1969 by harold mcfarland and student gordon bell at carnegie mellon university	1	0.9978	strong
in historical times there were cherokee and creek villages in the tennessee valley west of the wills valley and the sand mountain to the east	in historical times there were cherokee and creek villages in the tennessee valley west of sand mountain and in the wills valley in the east	0	0.9938	strong
it was built in 1974 and widened dredged with gravel roads on each side of the channel	it was built and widened in 1974 with gravel roads dredged on each side of the canal	1	0.8373	moderate
from 1800 04 wright was british consul general for the republic of the seven islands ionian islands	from 1800 04 wright was british consul general for the republic of the ionian islands seven islands	1	0.9953	strong
cunningham elementary school was recognized by governor jim mcgreevey in 2003 as one of 25 schools selected statewide for the first annual governor s school of excellence award	cunningham elementary school was recognized in 2003 by governor jim mcgreevey as one of 25 schools selected nationwide for the first annual governor s school of excellence	1	0.9822	strong
in 2009 hopsin founded his independent record label funk volume with damien ritter	in 2009 hopsin founded his own independent record label funk volume with damien ritter	1	0.9962	strong
the friends of putney school of art and design promotes the school and protects the interests of current students	the friends of the school of art and design of putney promotes the school and protects the interests of the current students	1	0.9854	strong
cheadle heath railway station served a railway station which between 1901 and 1968 was the village of cheadle stockport and the cheshire suburb of cheadle hulme	cheadle heath railway station served a railway station that was between 1901 and 1968 the village of cheadle stockport and the cheshire suburb of cheadle hulme	1	0.999	strong
inishnee is a small island off the coast of ireland in roundstone bay near the village of roundstone in connemara in county galway	inishnee is a small island off the shore of ireland in roundstone bay near the village of roundstone in connemara in county galway	1	0.9975	strong
these canons were later approved in 692 by the eastern council in trullo but rejected by pope constantine	these canons were later rejected by the eastern council in trullo in 692 but approved by pope constantine	0	0.997	strong
daka sends his american henchmen along with a zombie that he controls by microphone via an electronic brain implant to steal the precious metal	daka sends his american followers together with a zombie that he controls via an electronic brain implant by microphone to steal the precious metal	1	0.9528	strong
the upstream tributaries of the cascapédia river are in significant order	the upstream tributaries of the cascapédia are in significant order	1	0.9756	strong
in december 1883 he moved for two years to fresno and los angeles	in december 1883 he moved to fresno and then los angeles for two years	1	0.9935	strong
expansion power release is an album by american jazz pianist matthew shipp which was released in 1999 and recorded on the swiss hatolo	expansion power and release is an album by the american jazz pianist matthew shipp which was released in 1999 and recorded on swiss hatolo	1	0.9906	strong
the 1978 daytona 500 the second race of the event was the 20th round of the 1978 nascar winston cup season	the 1978 daytona 500 the 20th race of the event was the second race of nascar winston cup season 1978	0	0.9713	strong
koi hitoyo is a midtempo song composed and produced by tsugutoshi gotō written by goro matsui	koi hitoyo is a midtempo song written by gorō matsui and composed and produced by tsugutoshi gotō	1	0.995	strong
piven replaces michael madsen as bob although madsen was initially announced to return during preproduction	michael madsen replaces piven as bob although madsen was initially announced to be returning during preproduction	0	0.9895	strong
between 1937 and 1957 squadron was a unit of the british auxiliary air force and later of the royal auxiliary air force	615 county surrey squadron was one unit of the british royal auxiliary air force and later of the auxiliary air force between 1937 and 1957	0	0.8666	strong
in 1977 us 1 was moved to webster avenue and the alexander hamilton bridge crossing the harlem river using the cross bronx expressway	in 1977 the us 1 was transferred to webster avenue and the cross bronx expressway crossing the harlem river via alexander hamilton bridge	0	0.9694	strong
the hunters is a 2011 french crime horror thriller film directed by antoine huet the film was produced by chris briant	the film the hunters is a french crime horror thriller film from 2011 by antoine huet produced by chris briant	1	0.9876	strong
in the series chris brown s character dates a character that was played by the popular music star willa holland in the fourth season of the show	in the series chris brown s character dates a character played by the popular music star willa holland in the fourth season of the show	1	0.9964	strong
sometimes already allocated codes were reused or the x00 codes spared previously were assigned	sometimes already assigned codes were reused or the previously allocated x00 codes were spared	0	0.9905	strong
somaiya vidyavihar is an educational campus in vidyavihar suburb of mumbai	somaiya vidyavihar is an educational campus in vidyavihar suburb of mumbai	0	1.0	strong
wilson was the only vc receiver during the italian invasion of british somalia only six additional vcs were awarded for operations in east africa	wilson was the only vc recipient during the italian invasion of british east africa only six other vcs were awarded for operations in somalia	0	0.939	strong
today the railheads are for wellsville alma township and friendship	today the railheads for alma township wellsville are friendship	0	0.9712	strong
in september 2005 vertical communications was acquired by comdial	comdial was acquired in september 2005 by vertical communications	0	0.9544	strong
the group was founded in las vegas and later relocated to los angeles	the group was founded in las vegas and then relocated to los angeles	1	0.9982	strong
