sentence1	sentence2	label
On 26 March 2012 , it was first successfully concluded by a 12-year-old American , Tom Schaar .	It was successfully completed first by a 12-year-old American , Tom Schaar , on March 26 , 2012 .	1
In Vilnius they make up 13 % of the population , and 28 % in Klaipėda .	They make up 13 % of the population in Vilnius , 28 % in Klaipėda .	1
For many problems it is more convenient to work with D and the total cost than with E and the free charge .	In case of many problems it is more convenient to work with D and the free charges than with E and the total charge .	0
From 1931 until the outbreak of World War II in Europe in 1939 , he worked in Shanghai .	From 1931 to the outbreak of the Second World War in Shanghai in 1939 , he worked in Europe .	0
Established in 1788 , Alberta shares the title of oldest European settlement in Fort Vermilion with Fort Chipewyan .	Fort Vermilion was established in 1788 and shares with Fort Chipewyan the title of the oldest European settlement in Alberta .	0
Eric Midkiff replaced Glenn Jones in the band in 1996 and played guitar while Hart moved to bass .	In 1996 , Eric Midkiff replaced Glenn Jones in the band and played the guitar , while Hart switched to bass .	1
Refers to the action of the body in turning figures ; turning the opposite hip and shoulder towards the direction of the moving foot .	Refers to the effect of the body while turning figures : turning the opposite hip and shoulder in the direction of the moving foot .	1
Bay of Arauco or Bahia de Araucan , is a bay located on the coast of the Arauco Province , of the Bío Bío Region of Chile .	The Bay of Arauco or Bahia de Araucan is a bay on the coast of the province of Arauco , in the region Bío Bío in Chile .	1
John Murcot , Anthony à Wood and Zachary Bogan were among his students .	Among his pupils were John Murcot , Anthony à Wood , and Zachary Bogan .	1
Mike McCoy was the head coach of the Aviators , and Carl Caldwell was the General Manager .	The main coach of the aviators was Carl Carl Caldwell , and the general manager was Mike McCoy .	0
This generally creates colder nights through the warmer season .	This creates generally warmer nights through the colder season .	0
The Cornwall Minerals Railway opened its line from Fowey to St Dennis Junction on 1 June 1874 , where it connected with Treffry 's Newquay Railway .	On June 1 , 1874 , Cornwall Minerals Railway opened its line from St Dennis Junction to Fowey , where it was connected to the Newquay Railway of Treffry .	0
The former North East railway station was located north of Seymour at the crossroads of Mangalore and Shepparton lines .	Former station Mangalore was located north of Seymour at the junction of the North East and Shepparton lines .	0
Thillana Thillana is a 2003 Indian Malayalam film directed by T. Saji and produced by M. A. Nishad .	Thillana Thillana is a 2003 Indian Malayalam film , produced by T. S. Saji and directed by M. A. Nishad .	0
Japan is a dam in the Tokiwa dam , completed in 1941 .	Nagano Prefecture , Japan is a dam in the Tokiwa Dam , completed in 1941 .	0
Fuksas was born in Rome in 1944 ; his father was Lithuanian Jewish while his French mother was the daughter of a Catholic father and an Austrian mother .	He was born in 1944 in Rome , his father was Lithuanian - Jewish , his French mother was the daughter of a Catholic father and an Austrian mother .	1
SHS also has teams that compete in archery and bowling that are not sanctioned by IHSAA but are sponsored by their organizations .	SHS also has teams that compete in Archery and Bowling which are not IHSAA sanctioned , but sponsored by their organizations .	1
The series was created by John Ashley and Frank Lupo and was produced by Robert Palm as an executive .	The series was created by John Ashley and Frank Lupo and executive produced by Robert Palm .	1
It took place at the Real Club de Tenis Barcelona in Catalonia , Barcelona , Spain , from April 23 through April 29 , 2010 .	It took place from 23 April to 29 April 2010 in the Real Club de Tenis Barcelona in Catalonia , Barcelona , Spain .	1
In May 1921 , the 7th Battalion was reformed in regional Victoria around a headquarters in Merbein , with depots at Red Cliffs , Wentworth and Mildura .	In May 1921 , the 7th Battalion was reformed in the Victoria region around a headquarters in Merbein with depots at Red Cliffs , Wentworth and Mildura .	1
"EA has developed a new "" Syndicate "" game for Starbreeze Studios , which was released on February 21 , 2012 ."	"Starbreeze Studios developed a new "" Syndicate "" game for EA which was released on 21 February 2012 ."	0
They also display aspects of the physical discipline Parkour , while jumping over buildings and climbing from staircases .	They also show aspects of the physical discipline Parkour , while jumping over buildings and climbing staircases .	1
"Also , there is a promising and more faithful remake called "" Xenonauts "" . """	"There is also a more promising and fairer remake called "" Xenonauts "" ."	1
In 2016 , 3.9 % of children attended primary school in bilingual education .	In 2016 , 3.9 % of children attended primary schools in bilingual schools .	0
When Fletcher died in 1936 , Hill was appointed to fill the vacancy until a successor could be elected .	In 1936 , when Hill died , Fletcher was appointed to fill the vacancy until a successor could be elected .	0
Jarymowycz was a lecturer at the Royal Military College and was a frequent author of letters to the editor .	Jarymowycz was a sessional lecturer at the Royal Military College and was a frequent writer of letters to the editor .	1
They were accompanied or were soon followed by several other families , including Masters , Parker , Lundy , Battin , Kisner , Lemon , Oliver , and Rich .	They were accompanied or were soon followed by some other families , including Masters , Parker , Lundy , Battin , Kisner , Lemon , Oliver , and Rich .	1
While communism represented the latter , the United States represented the former .	Whereas communism represented the latter , the United States represented the former .	1
"In 1994 , the Polish ambassador to South Africa , Mr Scieniuch , presented the "" Warsaw Cross of Insurrection to Durrant 's widow ."	"In 1994 , the Polish Ambassador to South Africa , Mr SCieniuch presented the "" Warsaw Insurrectionary Cross "" to Durrant 's widow ."	1
These predictive functions are referred to as pedo-transfer functions in a non-spatial context .	These predictive functions , in a non-spatial context are referred to as pedotransfer functions .	1
At the LSE , Davies had lived with Jomo Kenyatta and absorbed the socialist views of Harold Laski .	At the LSE , Davies had roomed with Jomo Kenyatta and had absorbed the socialist views of Harold Laski .	1
He composed other songs and wrote orchestrations for larger choral works that are preserved in Australian libraries .	He composed other songs and wrote orchestrations for larger choral works preserved in Australian libraries .	1
"Immediately after he and Whitehead PM published , he wrote his 1912 "" The Problems of Philosophy "" ."	"Immediately after he and Whitehead published PM he wrote his 1912 "" The Problems of Philosophy "" ."	1
A historical figure is a famous person in history , such as Katharina the Great , Napoleon , Washington , or Abraham Lincoln .	A historical figure is a famous person in history , such as Catherine the Great , Napoleon , Washington , or Abraham Lincoln .	1
And he has composed music for dozens of traditional Arabic literary works , many films and various orchestras .	And he has composed music for tens of traditional Arabic literary works , many films and various orchestras .	0
João was born in Portugal but attended school in Paris , before moving to Brazil , the British West Indies , and finally New Orleans .	João was born in Portugal , but attended school in Paris before moving to Brazil , the British Antilles and finally to New Orleans .	1
Methods of the cubic geometry provide the following parameterization of Fermat 's algebraic :	Methods of cubic geometry provide the following parameterization of Fermat 's algebraic :	1
The estate was then acquired by the Robertson family ( sometimes also Robinson ) .	The estate was then acquired by the Robinson ( sometimes spelt Robertson ) family .	1
Shortest remaining time is short because advantageous processes are handled very quickly .	The shortest time remaining is advantageous because short processes are handled very quickly .	0
From 1965 to 2000 , it was owned by newspaper chains including Thomson Newspapers and the MediaNews Group .	From 1965 to 2000 it was owned by newspaper chains including Thomson Newspapers and MediaNews Group .	1
Coverage in urban areas is substantially higher than in rural areas .	In rural areas , coverage is much higher than in urban areas .	0
In 2003 , RTI International became the new host for GDB , where it continued to be run as a public resource for high-quality genetic and genomic information .	In 2003 RTI International became the genetic and genomic host for GDB where it continued to be maintained as a new resource for high quality public information .	0
Statistically , Halifax is the Commonwealth 's 204th largest community in terms of population and 186th in terms of population density .	Statistically speaking , Halifax is the 186th largest community in the Commonwealth in terms of population , and 204th in terms of population density .	0
There is a Orang Asli Museum in Gombak and also in Melaka , about 25 km north of Kuala Lumpur .	There is an Orang Asli museum in Gombak , and also in Melaka , about 25 km north of Kuala Lumpur .	1
Waye played his earliest football in Adelaide , before arriving in Willunga and Renmark and competing in the Port Adelaide Church Association .	Waye played his earliest football in Willunga and Renmark before arriving in Adelaide and participating in the Port Adelaide Church Association .	0
In 1882 he was named the Quebec Superior Court for Joliette district , later in Montmagny , Kamouraska and Gaspé districts .	In 1882 , he was named to the Quebec Superior Court for Joliette district , later serving in Montmagny , Kamouraska and Gaspé districts .	1
A radar-modified Vickers Wellington was equipped for use by the Fighter Interception Unit , as one of the first Airborne Early Warning and Control ( AEW & C ) aircraft .	A radar-equipped Vickers Wellington was converted to be one of the first Airborne Early Warning and Control ( AEW / C ) aircraft for use by the Fighter Interception Unit .	0
For some time Texas had proven to be a major market market , and in 1947 a large factory was built in Ennis , Texas .	For some time , Texas had proven to be a main market outlet , and in 1947 , a major factory was built in Ennis , Texas .	1
There are seven picnic areas and several have covered pavilions , the largest of which can accommodate up to 100 people and can be reserved .	There are seven picnic areas and several have covered pavilions , the largest of which can accommodate up to 100 persons and can be reserved .	1
Shine has written more than 900 articles in professional journals , two books published ( Australian Snakes ) .	Shine has written more than 900 papers in professional journals , published two books ( Australian Snakes .	1
She toured with Traffic and Jimi Hendrix before joining with Joe Cocker in 1970 .	She toured with Traffic and Joe Cocker before joining up with Jimi Hendrix in 1970 .	0
Femi 's musical career began when he started playing in the band of his father , Egypt 80 .	Femi 's musical career started when he began playing in his father 's band , Egypt 80 .	1
Eastside is a former settlement in Holtville . It was located north of Imperial County , California .	Eastside is a former settlement located in Imperial County , California , north of Holtville .	0
Cornelia Stuyvesant Vanderbilt ( the only child of George and Edith Vanderbilt ) married in 1924 to the British aristocrat John F. A. Cecil , a descendant of William Cecil .	John F. A. Cecil ( the only child of George and Cornelia Stuyvesant Vanderbilt ) married in 1924 to the British aristocrat William Cecil , a descendant of Edith Vanderbilt .	0
Union Star is located at in the Polk township of DeKalb County , Missouri on the border with Andrew County , Missouri .	Union Star is located in the polk community of Andrew County , Missouri on the border with DeKalb County , Missouri .	0
"Jerry won Best Actor at the Los Angeles Method Fest Film Festival for his role as DeWees in "" Mud Season "" ."	"For his role as DeWees in "" Mud Season "" won Jerry Jerry Best Actor at the Los Angeles Method Festival Film Festival ."	1
"The same title and "" Reason "" have the main melody and are the main themes of the show ."	"The main title and "" Reason "" have the same melody and are the dominant themes of the show ."	0
Bates was born in Carrollton , Missouri , to Werner Bates and Matilda ( White ) Leon Bates .	Bates was born in Carrollton , Missouri , to write Werner Bates and Matilda ( White ) Leon Bates .	1
The Jiul de Vest River is a tributary of the De La Hagher River in Romania	The River De La Hagher is a tributary of the Jiul de Vest River in Romania	0
The traditional clothing of the Ruska Roma is based on traditional and Russian calderash - clothing and is actively used by singers and dancers .	The traditional clothing of Ruska Roma is based on the traditional Russian and Kalderash clothes and is actively used by singers and dancers .	0
Born in London for John May , superintendent of a department of the Metropolitan Police , himself , May himself joined the force and left England in 1845 to Hong Kong .	Born in London to John May , Superintendent of A Division of the Metropolitan Police . May himself joined the force and left England in 1845 for Hong Kong .	1
Benzoylfentanyl was banned in Sweden in September 2017 , and in Finland in October 2017 .	In September 2017 , benzoylfentanyl was banned in Sweden , in October 2017 in Finland .	1
Johann Reinhard I played a role in the coronation celebrations of Emperor Matthias 1612 and the election of Emperor Ferdinand in 1619 .	Johann Reinhard I played a role in the coronation of Emperor Matthias in 1612 and the election of Emperor Ferdinand in 1619 .	1
He died on 23 April 1881 in Long Island , New York ( today Elmhurst Station ) , Flushing , Newtown .	He died on April 23 , 1881 in Newtown ( today Elmhurst Station ) , Flushing , Long Island , New York .	0
Fanny Pak had five of the new members from season two and four same members .	Fanny Pak had five new members from the second season and four of the same members .	1
Any two of the digitized waveforms could be used by the two provided digital oscillators .	Any two of the digitised waveforms could be used by the two digital oscillators provided .	1
In 1971 , a primary campus in 33 MacDonnell Road was completed for the new school .	In 1971 , a main campus was completed for the new school in 33 MacDonnell Road .	1
"Achieved in Australia "" The other man 's grass is greener than 30 , while in South Africa the track reached a peak of # 19 ."	"In Australia , "" The Other Man 's Grass Is Always Greener "" reached # 30 while in South Africa the track achieved a # 19 chart peak ."	0
Where codice _ 3 is a type qualifier , which the qualified type of codice _ 27 is codice _ 28 and the unqualified type is codice _ 29 .	Where codice 3 is a type qualifier , with the qualified type of codice 27 codice 28 and the unqualified type codice 29 .	1
Eckhoff represented Britain against New Zealand in 1928 and Australia in 1930 .	Eckhoff represented New Zealand against Great Britain in 1928 , against Australia in 1930 .	0
Nool Veli ( Fence of Yarn ) is a 1979 Tamil film playing with Saritha , Sujatha and Sarath Babu .	Nool Veli ( fence of the yarn ) is a 1979 - Tamil film with Sarath Babu , Sujatha and Saritha .	1
I was in a racist environment with white people during my school years .	During all my school years , I was in a racist environment , with white people .	1
Mimi Arnold defeated Rosie Reyes , 8 -- 6 , 6 -- 2	Rosie Reyes suggested Mimi Arnold , 8 -- 6 , 6 -- 2 .	0
Christine was hopeful that her son Walter might still be alive after her first interview with Gordon Stewart Northcott .	Christine became hopeful that after her first conversation with Walter , her son Gordon Stewart Northcott might still be alive .	0
El Arco Mine is a large copper mine in the northwest of the Baja California in Mexico .	The El Arco Mine is a large copper mine in the northwest of Mexico in Baja California .	0
The continuous power density is determined by the product 's continuous torque density and the constant torque speed range of the electric machine .	The continuous power density is determined by the product of the continuous torque density and the constant torque speed range of the electric machine .	1
The group was founded in Las Vegas , and later relocated to Los Angeles .	The group was founded in Las Vegas and then relocated to Los Angeles .	1
It was developed along the Brazeau River , at the confluence of Elk River in the hydrographic basin of the North Saskatchewan River .	It was developed along the Brazeau River , at the confluence with Elk River , in the hydrographic basin of the North Saskatchewan River .	1
Formerly licensed to North Myrtle Beach , South Carolina , USA , the station was owned by City of North Myrtle Beach .	The station was formerly licensed by North Myrtle Beach and belonged to the city of North Myrtle Beach , South Carolina , USA .	1
Eunice Smith married Ossman and had three children , Vess Jr. , Raymond and Annadele .	Ossman married Eunice Smith and they had three children , Vess Jr. , Raymond , and Annadele .	1
He graduated in 1976 from Kansas Newman College and in 1979 from the Washburn Law School .	He graduated from Kansas Newman College in 1976 and from Washburn Law School in 1979 .	1
"Agnew said that Maloney often told her during childhood that he had "" won the war . """	"Maloney said that during her childhood , Agnew often told her that he had "" won the war . """	0
In reality , Danny Greene was not present when Nardi was murdered .	In reality , Danny Greene was not present when Nardi was assassinated .	1
The following schools are located in Papakura ( schools in Rosehill , Takanini and Opaheke are exempt ) :	The following schools are located in Papakura ( schools in Rosehill , Takanini , and Opaheke are excluded ) :	1
The Hebrew Union College-Jewish Institute of Religion also manages the Skirball Cultural Center in Los Angeles and Skirball Museum in Jerusalem .	The Hebrew Union College -Jewish Institute of Religion also manages the Skirball Cultural Center in Jerusalem and the Skirball Museum in Los Angeles .	0
In 1988 , the Paramount Pictures stores changed its name to Suncoast Motion Picture Company .	In 1988 , the Paramount Pictures changed its name to Suncoast Motion Picture Company .	1
St Albans was the only son of Elizabeth Catherine , 9th Duke of St Albans , and Joseph Gubbins , daughter of Major-General William Beauclerk .	St Albans was the only son of William Beauclerk , 9th duke of St. Albans , and Elizabeth Catherine , daughter of General Joseph Gubbins .	0
Slashdong is a blog about teledildonics and similar use of technology for erotic purposes .	Slashdong is a blog about teledildonic and erotic use of technology for similar purposes .	0
Solomons was born in Thorpe Bay and brought up with his four siblings in Orsett , Essex by his mother and father .	Solomons was born in Thorpe Bay and with his four siblings in Orsett , Essex brought up by his mother and his father .	1
"The "" Standard "" was the leading newspaper in Montana , built by Marcus Daly and financed by campaigning editor John Hurst Durston ."	""" Standard "" was the leading newspaper in Montana , built by Marcus Daly and financed by the campaigns - Editor John Hurst Durston ."	1
She married Antonio Bourque and lived in Moncton first before returning to the Villa Providence in Shediac .	She married Antonio Bourque , and first lived in Moncton before retiring to Villa Providence in Shediac .	1
Louisa Catherine had an illegitimate daughter , Sarah , on 22 March 1839 .	Louisa Catherine , on March 22 , 1839 , had an illegitimate daughter , Sarah .	1
Born in Antwerp , Van Hoof was a pupil of Paul Gilson and was heavily influenced by the works of Peter Benoit .	Van Hoof was born in Antwerp , was a student of Peter Benoit and was influenced by the works of Paul Gilson .	0
Philip Seymour Hoffman played a 1994 - TV adaptation as Ezra Baxter , Jean Smart as Ora Baxter and Peter Strauss as Buck .	A 1994 television adaptation starred Philip Seymour Hoffman as Ezra Baxter , Jean Smart as Ora Baxter , and Peter Strauss as Buck .	1
However , a pair of Lola T616s run by B.F. Goodrich Company used the same Mazda engine and were successful in beating both 727Cs , claiming 1st and 3rd .	A pair of Lola T616s running by B. F. Goodrich Company , however , used the same Mazda engine and were successful in beating both 727Cs , 1st and 3rd claiming .	1
Two more aftershocks above Magnitude 5 in Xinjiang and one in Kyrgyzstan beat UTC on October 13 - time .	Two more aftershocks above magnitude 5 in Xinjiang and one in Kyrgyzstan struck on October 13 , UTC time .	1
"She played Ellie Morgan in a BBC One drama miniseries "" Moving On "" , entitled "" Drowning Not Waving "" , which was broadcast in May 2009 ."	"She played Ellie Morgan in the BBC One - Drama - Miniseries "" Moving On "" entitled "" Drowning Not Waving "" , which was aired in May 2009 ."	1
When his family from Italy , Rodolpho and Marco , live illegally and begin to migrate with him , the small world that he operates in is disrupted .	When his family from Italy , Rodolpho and Marco , begin to live and migrate with him illegally , the small world in which he operates is destroyed .	1
Where formula _ 9 is the molar gas constant , formula _ 10 is the temperature and formula _ 11 is the ideal mass of the atoms .	Where Formula 9 is the molar gas constant , Formula 10 is temperature and Formula 11 is the ideal mass of the atoms .	1
From 1973 to 2015 Helmut Groß was the mayor of Tengen . His successor is Marian Schreier .	Helmut Groß was the mayor of Tengen from 1973 to 2015 , and his successor was Marian Schreier .	1
Sapthaswaragal is a 1974 Indian Malayalam film staged by Baby and produced by MS Narayanan .	Sapthaswaragal is a 1974 Indian Malayalam film , produced by Baby and directed by MS Narayanan .	0
The Sterminos River is a tributary of the River Voievodu in Romania .	The Sterminos River is a tributary of the Voievodu River in Romania .	1
Paul Annacone won in the final 6 -- 2 , 6 -- 4 against Andre Agassi .	Paul Annacone won 6 -- 2 , 6 - 4 against Andre Agassi in the final .	1
On April 9 , 1830 , Adam Helmer died in the city of Brutus , Cayuga County , New York .	Adam Helmer died on April 9 , 1830 , in the town of Brutus in Cayuga County , New York .	1
On August 12 , 2003 Kottonmouth Kings released their 3rd Compilation - Album , their 1st Live album and their 9th total album , Classic Hits Live .	On August 12 , 2003 Kottonmouth Kings released their 3rd compilation album , their 1st live album and their 9th overall album titled , Classic Hits Live .	1
At the next day 's AFL meeting , Tobin was forced to defend Beck 's actions .	At the AFL meeting the next day , Beck was forced to defend Tobin 's actions .	0
J. David Spurlock was born on November 18 , 1959 in Memphis , Tennessee . He moved to Dallas , Texas in 1973 .	David J. Spurlock was born on 18 November 1959 in Memphis , Tennessee . He moved to Dallas , Texas in 1973 .	1
She qualified for her second Grand Slam at the 2016 Australian Open , beating Wang Yafan in the first round before losing to Carla Suárez Navarro in the second .	She qualified for her first Grand Slam at the Australian Open 2016 and struck Wang Yafan in the second round before losing Carla Suárez Navarro in the second round .	0
